datetime,open,high,low,close,volume
2025-05-31 14:15:00,104404.41,104469.23,104277.0,104299.99,194.83335
2025-05-31 14:30:00,104300.0,104443.4,104288.06,104428.57,136.84361
2025-05-31 14:45:00,104428.57,104583.48,104361.56,104573.92,192.25795
2025-05-31 15:00:00,104573.91,104628.24,104465.62,104583.23,151.69785
2025-05-31 15:15:00,104583.22,104784.07,104583.22,104773.48,159.30362
2025-05-31 15:30:00,104773.48,104846.15,104485.52,104528.87,245.29239
2025-05-31 15:45:00,104528.88,104663.75,104443.39,104556.08,158.00658
2025-05-31 16:00:00,104556.08,104695.33,104400.0,104620.6,173.08185
2025-05-31 16:15:00,104620.6,104744.5,104609.12,104679.91,101.12594
2025-05-31 16:30:00,104679.91,104780.49,104430.28,104457.62,152.5179
2025-05-31 16:45:00,104457.63,104537.74,104407.56,104490.57,68.3812
2025-05-31 17:00:00,104490.56,104537.74,104404.02,104537.73,74.77041
2025-05-31 17:15:00,104537.74,104619.05,104475.23,104475.23,91.61612
2025-05-31 17:30:00,104475.24,104506.0,104413.27,104454.03,55.43163
2025-05-31 17:45:00,104454.04,104473.73,104261.39,104349.06,121.63842
2025-05-31 18:00:00,104349.06,104550.24,104349.05,104526.85,46.28163
2025-05-31 18:15:00,104526.84,104619.05,104502.94,104530.2,46.55815
2025-05-31 18:30:00,104530.2,104548.14,104418.14,104418.14,35.99432
2025-05-31 18:45:00,104418.15,104487.81,104388.26,104487.81,36.8668
2025-05-31 19:00:00,104487.81,104726.42,104487.8,104644.0,96.50379
2025-05-31 19:15:00,104644.01,104731.69,104624.37,104693.82,55.11611
2025-05-31 19:30:00,104693.81,104726.42,104683.34,104721.81,50.22647
2025-05-31 19:45:00,104721.82,104750.0,104654.51,104698.02,31.62769
2025-05-31 20:00:00,104698.03,104714.29,104533.54,104548.1,55.52974
2025-05-31 20:15:00,104548.09,104675.71,104548.09,104675.71,25.12249
2025-05-31 20:30:00,104675.71,104726.42,104672.52,104715.95,20.40412
2025-05-31 20:45:00,104715.94,104807.94,104715.94,104781.83,48.99706
2025-05-31 21:00:00,104781.84,104879.21,104652.36,104676.13,140.07629
2025-05-31 21:15:00,104676.12,104786.12,104645.73,104786.12,38.64189
2025-05-31 21:30:00,104786.12,104884.16,104752.02,104831.83,76.33392
2025-05-31 21:45:00,104831.83,104877.0,104731.7,104863.16,62.21006
2025-05-31 22:00:00,104863.16,104900.0,104786.63,104827.0,74.26874
2025-05-31 22:15:00,104826.99,104846.54,104737.83,104737.84,53.69105
2025-05-31 22:30:00,104737.84,104756.96,104643.4,104723.41,45.68588
2025-05-31 22:45:00,104723.42,104730.81,104603.08,104625.8,54.46124
2025-05-31 23:00:00,104625.79,104770.21,104473.2,104761.9,143.23334
2025-05-31 23:15:00,104761.91,104840.0,104644.92,104646.68,120.58983
2025-05-31 23:30:00,104646.69,104685.87,104619.04,104649.82,48.41024
2025-05-31 23:45:00,104649.82,104654.77,104584.99,104591.88,48.52311
2025-06-01 00:00:00,104591.88,104647.11,104454.41,104473.01,91.21305
2025-06-01 00:15:00,104473.01,104490.57,104370.26,104380.96,95.60659
